Tomato___Early_blight: F1=0.734, Precision=0.816, Recall=0.667, Support=186
Tomato___Target_Spot: F1=0.806, Precision=0.735, Recall=0.892, Support=279
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot: F1=0.841, Precision=0.805, Recall=0.880, Support=108
Potato___healthy: F1=0.847, Precision=0.735, Recall=1.000, Support=25
Tomato___Spider_mites Two-spotted_spider_mite: F1=0.850, Precision=0.869, Recall=0.832, Support=334
Tomato___Leaf_Mold: F1=0.853, Precision=0.795, Recall=0.921, Support=189
Tomato___Septoria_leaf_spot: F1=0.860, Precision=0.899, Recall=0.824, Support=335
Tomato___Late_blight: F1=0.904, Precision=0.922, Recall=0.886, Support=376
Tomato___Bacterial_spot: F1=0.905, Precision=0.897, Recall=0.913, Support=438
Corn_(maize)___Northern_Leaf_Blight: F1=0.905, Precision=0.930, Recall=0.882, Support=195

